A;B;C;D;E
Wie schätzt Du den Aufholbedarf der Politik in folgenden gesellschaftlichen Bereichen ein? Prozessuale Teilhabe (q_50633 - Typ 311);;;;
v_313;v_313;int;Beteiligung an Flächenplanung;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_314;v_314;int;Transparente Planungsverfahren;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_315;v_315;int;Beteiligung an politischen Entscheidungen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_316;v_316;int;Kommunale Teilhabe;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
18;Aufholbedarf KS Gesellschaft II (PGID 34698);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden gesellschaftlichen Bereichen ein?   Finanzielle Teilhabe/Geschäftsmodelle (q_50835 - Typ 311);;;;
v_330;v_330;int;Bürger:innenenergie;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_331;v_331;int;Mieter:innenstrom;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_333;v_333;int;Finanzielle Beteiligung;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
19;Aufholbedarf KS Gesellschaft III (PGID 34699);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden gesellschaftlichen Bereichen ein?   Suffizienz-Maßnahmen zur Nachfragereduktion im... (q_50833 - Typ 311);;;;
v_334;v_334;int;Verkehrssektor (z.B. Reduktion von Fahrten);
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_335;v_335;int;Wärmesektor (z.B. Wohnflächenreduzierung);
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_336;v_336;int;Stromsektor (z.B. aktives Stromsparen);
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_337;v_337;int;Individuelles Konsum- und Kaufverhalten;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
20;Aufholbedarf KS Gesellschaft IV (PGID 34700);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden gesellschaftlichen Bereichen ein?   Energiegerechtigkeit und Just Transition  (q_50834 - Typ 311);;;;
v_338;v_338;int;Gerechte Verteilung von Kosten und Nutzen zwischen Produzent:innen und Konsument:innen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_339;v_339;int;Repräsentation  aller gesellschaftlichen Gruppen in Energiewendeprozessen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_340;v_340;int;Gendergerechtigkeit in Energiewendeprozessen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_341;v_341;int;Berücksichtigung Stadt-Land Unterschiede;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_343;v_343;int;Umschulung von im fossilen Sektor Beschäftigten;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_345;v_345;int;Zielkonflikt mit lokalem Naturschutz;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_346;v_346;int;Flächengerechtigkeit innerhalb einer Gemeinde;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
21;Aufholbedarf KS Gesellschaft Sonstiges (PGID 34701);;;
;;;;
Welche sonstigen gesellschaftlichen Bereiche fehlten hier, müssten aber noch stärker berücksichtigt werden? (q_50639 - Typ 143);;;;
v_224;v_224;varchar;Thema 1:;
v_225;v_225;varchar;Thema 2:;
v_226;v_226;varchar;Thema 3:;
 ;;;;
;;;;
;;;;
22;wirtschaftl. Herausforderungen KS (PGID 34702);;;
;;;;
Was sind aus Deiner Sicht die wichtigsten wirtschaftlichen Herausforderungen auf dem Weg ins Klimaneutrale Stromsystem? (q_50641 - Typ 143);;;;
v_227;v_227;varchar;Herausforderung 1:;
v_228;v_228;varchar;Herausforderung 2:;
v_229;v_229;varchar;Herausforderung 3:;
 ;;;;
;;;;
;;;;
23;Aufholbedarf KS Wirtschaft I (PGID 34703);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden wirtschaftlichen Bereichen ein?  Preise / Bepreisung (q_50836 - Typ 311);;;;
v_351;v_351;int;CO2-Bepreisung;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_352;v_352;int;Vermeidung negativer Strompreise;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_353;v_353;int;Netzengpassbepreisung;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_354;v_354;int;Netzentgelte (z.B. variable Verteilnetzentgelte);
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_355;v_355;int;Strompreiszonen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_356;v_356;int;Variable Strompreise;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
24;Aufholbedarf KS Wirtschaft II (PGID 34704);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden wirtschaftlichen Bereichen ein?  Regulatorischen Rahmens / Förderdesigns (q_50838 - Typ 311);;;;
v_369;v_369;int;Genehmigungsverfahren vereinfachen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_370;v_370;int;Klimafreundliche Subventionen stärken;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_371;v_371;int;Klimaschädliche Subventionen abbauen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_372;v_372;int;Anreize für Nutzung von Flexibilitäten;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_373;v_373;int;Redispatch;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_374;v_374;int;Einspeisemanagement;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
25;Aufholbedarf KS Wirtschaft III (PGID 34705);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden wirtschaftlichen Bereichen ein?  Stromhandel reformieren (q_50837 - Typ 311);;;;
v_375;v_375;int;Einführung eines Kapazitätsmechanismus;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_376;v_376;int;Lokale Flexibilitätsmärkte;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_377;v_377;int;Überregionale Flexibilitätsmärkte;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_378;v_378;int;Prosuming und Vor-Ort-Versorgung;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_379;v_379;int;Dezentrale Marktplätze;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_381;v_380;int;Strombörse öffnen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_382;v_381;int;Außerbörslichen Stromhandel;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_383;v_382;int;Internationalen Stromhandel stärken;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
26;Aufholbedarf KS Wirtschaft Sonstiges (PGID 34706);;;
;;;;
Welche sonstigen wirtschaftlichen Bereiche fehlten hier, müssten aber berücksichtigt werden? (q_50649 - Typ 143);;;;
v_234;v_234;varchar;Thema 1:;
v_235;v_235;varchar;Thema 2:;
v_236;v_236;varchar;Thema 3:;
 ;;;;
;;;;
;;;;
27;techn. Herausforderungen KS (PGID 34707);;;
;;;;
Was sind aus Deiner Sicht die wichtigsten technischen Herausforderungen auf dem Weg ins Klimaneutrale Stromsystem? (q_50651 - Typ 143);;;;
v_237;v_237;varchar;Herausforderung 1:;
v_238;v_238;varchar;Herausforderung 2:;
v_239;v_239;varchar;Herausforderung 3:;
 ;;;;
;;;;
;;;;
28;Aufholbedarf KS Technik I (PGID 34708);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden technischen Bereichen ein?  Sektorenkopplung (q_50876 - Typ 311);;;;
v_390;v_390;int;Thermische Speicher;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_391;v_391;int;Power-to-Heat-Anlagen (z.B. Wärmepumpen);
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_392;v_392;int;Power-to-X-Infrastruktur (z.B. Wasserstoff);
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_393;v_393;int;CO2-arme Industrieprozesse;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
29;Aufholbedarf KS Technik II (PGID 34709);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden technischen Bereichen ein?  Digitalisierung (q_50877 - Typ 311);;;;
v_414;v_414;int;Energiemanagementsysteme;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_415;v_415;int;Smart Meter;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_416;v_416;int;Intelligente Netze;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_417;v_417;int;Virtuelle Kraftwerke;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
30;Aufholbedarf KS Technik III (PGID 34710);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden technischen Bereichen ein?  Flexibilitäten (q_50878 - Typ 311);;;;
v_418;v_418;int;Batteriespeicher;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_419;v_419;int;Saisonale Speicher;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_421;v_421;int;Vehicle-to-Grid / Bidirektionales Laden;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_422;v_422;int;Flexible Laststeuerung;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
31;Aufholbedarf KS Technik IV (PGID 34711);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden technischen Bereichen ein?  Gesicherte Leistung durch konventionelle Kraftwerke (q_50880 - Typ 311);;;;
v_423;v_423;int;LNG-Terminals;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_424;v_424;int;H2-ready Gaskraftwerke;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_425;v_425;int;CCS für fossile Kraftwerke;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_426;v_426;int;Innovative Kernkraftwerke;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
32;Aufholbedarf KS Technik V (PGID 34712);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden technischen Bereichen ein?  Stromnetze (q_50881 - Typ 311);;;;
v_427;v_427;int;Ausbau von Übertragungskapazitäten;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_428;v_428;int;Ausbau der Verteilnetze;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_429;v_429;int;Ausbau von DC-Verteilnetzen;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
33;Aufholbedarf KS Technik VI (PGID 34713);;;
;;;;
Wie schätzt Du den Aufholbedarf der Politik in folgenden technischen Bereichen ein?  Ausbau Erneuerbarer Energien (q_50879 - Typ 311);;;;
v_402;v_402;int;Höhere Ausbauraten PV;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_403;v_403;int;Höhere Ausbauraten Windkraft;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
v_404;v_404;int;Höhere Ausbauraten anderer Erneuerbarer;
;;1;Sehr hoch;
;;2;Hoch;
;;3;Mittel;
;;4;Gering;
;;5;Sehr gering;
;;6;Kein Bedarf;
;;7;Nicht relevant;
;;8;Keine Angabe;
 ;;;;
;;;;
;;;;
34;Aufholbedarf KS Technik Sonstiges (PGID 34714);;;
;;;;
Welche sonstigen technischen Bereiche fehlten und müssten stärker berücksichtigt werden? (q_50655 - Typ 143);;;;
v_243;v_243;varchar;Thema 1:;
v_244;v_244;varchar;Thema 2:;
v_245;v_245;varchar;Thema 3:;
 ;;;;
;;;;
;;;;
35;Eigenschaften SMD (PGID 34715);;;
;;;;
„Strommarktdesign“ ist nicht eindeutig definiert. Welche Eigenschaften beschreiben aus Deiner Sicht das „Strommarktdesign“? (q_50624 - Typ 143);;;;
v_174;v_174;varchar;Eigenschaft 1:;
v_175;v_175;varchar;Eigenschaft 2:;
v_176;v_176;varchar;Eigenschaft 3:;
 ;;;;
;;;;
;;;;
36;Reform SMD (PGID 34716);;;
;;;;
